cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,93,73.0,up,479.335,-0.010930146806206194,1.044382469251468
cell8_02_22,20,93,73.0,down,437.124,-0.11767608924485812,0.952412493327378
cell8_02_22,20,94,74.0,cell,458.053,-0.0759618719007707,458.053
cell8_02_22,20,94,74.0,up,479.198,-0.011212835468389323,1.0461627802896172
cell8_02_22,20,94,74.0,down,435.295,-0.12136788020753957,0.9503157931505744
cell8_02_22,20,95,75.0,cell,458.797,-0.07446098801330385,458.797
cell8_02_22,20,95,75.0,up,482.65,-0.004089906549731234,1.051990313798913
cell8_02_22,20,95,75.0,down,437.853,-0.11620462089505237,0.9543501810168767
cell8_02_22,20,96,76.0,cell,464.823,-0.06230463545164414,464.823
cell8_02_22,20,96,76.0,up,492.611,0.016463828953963245,1.0597818954741913
cell8_02_22,20,96,76.0,down,442.767,-0.10628583424080609,0.9525496802008507
cell8_02_22,20,97,77.0,cell,461.922,-0.06815687222253271,461.922
cell8_02_22,20,97,77.0,up,484.677,9.264759804404417e-05,1.0492615636406146
cell8_02_22,20,97,77.0,down,441.581,-0.10867974571250652,0.9559644268945839
cell8_02_22,20,98,78.0,cell,461.321,-0.06936927977141381,461.321
cell8_02_22,20,98,78.0,up,485.226,0.0012254656676683596,1.0518185818551506
cell8_02_22,20,98,78.0,down,440.297,-0.11127146774426318,0.954426527298779
cell8_02_22,20,99,79.0,cell,460.538,-0.07094883902394947,460.538
cell8_02_22,20,99,79.0,up,479.934,-0.009694157691989355,1.042115960029357
cell8_02_22,20,99,79.0,down,439.846,-0.11218180001554223,0.9550699399398095
cell8_02_22,20,100,80.0,cell,457.358,-0.07736390725263818,457.358
cell8_02_22,20,100,80.0,up,487.833,0.006604803932715243,1.066632703483923
cell8_02_22,20,100,80.0,down,435.38,-0.12119630982381739,0.9519457405358603
cell8_02_22,20,101,81.0,cell,456.25,-0.07959909454741401,456.25
cell8_02_22,20,101,81.0,up,472.712,-0.024596183372913166,1.036081095890411
cell8_02_22,20,101,81.0,down,437.021,-0.1178839921804274,0.9578542465753425
