ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,20,73,53.0,up,470.67,0.015836359417912695,0.049425592826007156
cell4_01_17_03,17_03,cell4_17_03,1,10,20,73,53.0,down,593.599,-0.03947868977293889,-0.0077075288467644484
cell4_01_17_03,17_03,cell4_17_03,1,10,20,74,54.0,cell,597.838,-0.03667166562224101,597.838
cell4_01_17_03,17_03,cell4_17_03,1,10,20,74,54.0,up,463.645,0.0006744616447151884,0.038751007657349276
cell4_01_17_03,17_03,cell4_17_03,1,10,20,74,54.0,down,582.371,-0.05764707157821401,-0.02177891414834569
cell4_01_17_03,17_03,cell4_17_03,1,10,20,75,55.0,cell,600.251,-0.032783469704862817,600.251
cell4_01_17_03,17_03,cell4_17_03,1,10,20,75,55.0,up,473.642,0.022250759443811982,0.0568825023906654
cell4_01_17_03,17_03,cell4_17_03,1,10,20,75,55.0,down,594.717,-0.0376696186241772,-0.005056872467214406
cell4_01_17_03,17_03,cell4_17_03,1,10,20,76,56.0,cell,598.141,-0.03618342552155075,598.141
cell4_01_17_03,17_03,cell4_17_03,1,10,20,76,56.0,up,465.161,0.003946409975557552,0.04161953637043809
cell4_01_17_03,17_03,cell4_17_03,1,10,20,76,56.0,down,587.298,-0.049674537097042795,-0.014002655700501526
cell4_01_17_03,17_03,cell4_17_03,1,10,20,77,57.0,cell,596.792,-0.03835714134937624,596.792
cell4_01_17_03,17_03,cell4_17_03,1,10,20,77,57.0,up,465.978,0.005709722499500957,0.045807649288841276
cell4_01_17_03,17_03,cell4_17_03,1,10,20,77,57.0,down,594.607,-0.037847613102141256,0.0005247139664758735
cell4_01_17_03,17_03,cell4_17_03,1,10,20,78,58.0,cell,598.593,-0.03545509375418444,598.593
cell4_01_17_03,17_03,cell4_17_03,1,10,20,78,58.0,up,480.573,0.03720977915427905,0.07531852374987724
cell4_01_17_03,17_03,cell4_17_03,1,10,20,78,58.0,down,584.536,-0.05414381662555817,-0.01938072543353518
cell4_01_17_03,17_03,cell4_17_03,1,10,20,79,59.0,cell,599.721,-0.03363748704270381,599.721
cell4_01_17_03,17_03,cell4_17_03,1,10,20,79,59.0,up,471.918,0.018529889442247253,0.05396619116566295
cell4_01_17_03,17_03,cell4_17_03,1,10,20,79,59.0,down,589.781,-0.045656716289909124,-0.012442670109311806
